"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"1","Year",9.61696421737525,9.60654396835348,7.61899627766129,12.3551799128186,1,"Confirmed"
"2","Dreamcast",-0.206356781076756,-0.688927790908882,-1.23870633465081,2.18621939366307,0,"Rejected"
"3","Wireless",1.78062712040601,1.73876355914215,-0.156151941902297,4.04039684065702,0,"Rejected"
"4","Saturn",0,0,0,0,0,"Rejected"
"5","Android",6.50456300928317,6.53134801715917,4.5045704362043,9.2366718604593,0.98989898989899,"Confirmed"
"6","iPad",2.4761220669292,2.52442506322114,-1.14237408028357,4.39753882182738,0.0808080808080808,"Rejected"
"7","iPhone",8.93873348271261,8.80889293851087,6.77617729312681,11.1403679801506,1,"Confirmed"
"8","Arcade",0.736642323677143,0.754405687374098,-0.869773845366939,2.48075413843546,0,"Rejected"
"9","GameCube",0.929509212573838,0.916902141474984,-1.14423076816012,2.63916640458872,0,"Rejected"
"10","Genesis",0.169929667276514,0.382836290180623,-1.37940187027358,2.10965679482764,0,"Rejected"
"11","Macintosh",16.4783018797873,16.3981308321883,14.4155789725824,18.5652236089184,1,"Confirmed"
"12","PC",12.5587414650236,12.6475017673858,10.562367556474,15.611477070432,1,"Confirmed"
"13","Nintendo",5.5539101203499,5.50718407987709,3.1682738068105,7.59483408926296,0.919191919191919,"Confirmed"
"14","GameBoy",5.34325109946237,5.41095898918638,3.45453262016425,7.15359051848891,0.898989898989899,"Confirmed"
"15","NES",-0.53958583649687,-0.425658720890382,-2.58171159671172,1.02538246772503,0,"Rejected"
"16","PlayStation",3.39131604054963,3.37070774029324,0.785050128731881,5.28062203455065,0.515151515151515,"Confirmed"
"17","Xbox",2.28781775512344,2.27237102611387,-0.339643536262213,4.48756537400966,0.272727272727273,"Rejected"
"18","Wii",5.06086410251388,5.09353873084251,2.3693271859295,7.61772820549852,0.868686868686869,"Confirmed"
"19","otherPlatform",-0.289215696713904,-0.178798404088219,-1.96813299512194,1.4108443974452,0,"Rejected"
"20","Flight",-0.680350669495966,-0.559348280313084,-2.19302655938732,0.908136753961519,0,"Rejected"
"21","Music",1.49890443541073,1.52560054361749,-0.683549064528311,3.55943022603476,0,"Rejected"
"22","Simulation",0.469562003739537,0.0464750102378825,-1.22250111583852,1.93389757438854,0,"Rejected"
"23","Fighting",1.7861202107802,1.98663676722338,-1.37081419826322,4.14938110797815,0.0101010101010101,"Rejected"
"24","Platformer",4.07630286781228,4.01569682577185,1.98102008648993,6.67090027143348,0.757575757575758,"Confirmed"
"25","Puzzle",2.00991130812882,2.3292269882634,0.875977902702202,2.78535057853865,0,"Rejected"
"26","Strategy",4.46202420306217,4.34763161155127,1.46957721849379,6.72572015442862,0.858585858585859,"Confirmed"
"27","Adventure",4.12659348487239,4.18347754206475,1.67140603664322,6.38059063459517,0.737373737373737,"Confirmed"
"28","RPG",2.23442598694143,2.22727922550183,0.0992145497956839,3.99649781244391,0.0404040404040404,"Rejected"
"29","Racing",3.47270366379377,3.44652279208346,1.06554732372263,5.59642116966452,0.616161616161616,"Rejected"
"30","Shooter",0.896625607923304,1.13582897821752,-0.57890496436826,1.99317594510375,0,"Rejected"
"31","Sports",3.61341768735452,3.67156775262096,1.69442815426556,6.13299783842871,0.585858585858586,"Confirmed"
"32","Action",5.60074775722143,5.56166115269938,2.42712470474718,8.46205029783021,0.929292929292929,"Confirmed"
"33","otherGenre",3.43774410500059,3.44730209667066,0.520546968876075,6.0549607624056,0.585858585858586,"Confirmed"
"34","anger",11.6411397851987,11.6361791183345,9.27676585324375,14.1455011402724,1,"Confirmed"
"35","anticipation",14.9993603224382,15.2277776502877,11.672990341186,17.4363879156661,1,"Confirmed"
"36","disgust",8.56238115071597,8.60771469986568,5.53602994528718,11.5983725497328,0.97979797979798,"Confirmed"
"37","fear",12.7055736703586,12.8332254714205,9.87664295343455,15.1941661236258,1,"Confirmed"
"38","joy",10.4410875819951,10.4854143425916,7.2828736468547,13.4030176392282,1,"Confirmed"
"39","sadness",11.6519720824799,11.7225904460235,9.40626097995538,14.5936343847634,1,"Confirmed"
"40","surprise",9.88517818595209,9.84456779378433,7.82848173265233,13.3139723418961,1,"Confirmed"
"41","trust",13.6006283484059,13.5607741465208,10.1900916973085,16.5015093532132,1,"Confirmed"
"42","negative",15.0236141679219,15.1305220546332,11.5766288583439,17.962186605329,1,"Confirmed"
"43","positive",16.1304047658489,16.0835586476612,12.5599390839691,20.6659053974402,1,"Confirmed"
"44","V1_April",-0.0240011886192184,-0.158746746136564,-1.31635910908111,0.979049827717605,0,"Rejected"
"45","V1_August",-0.297109377167596,-0.388238763909033,-2.49195736895876,1.25739532973874,0,"Rejected"
