"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"1","Year",2.75508386779732,2.95141991656053,0.574071181026524,5.16580753456311,0.121212121212121,"Rejected"
"2","Dreamcast",-1.64912819820025,-1.66329024119002,-3.6030600613899,-0.000279330038503967,0,"Rejected"
"3","Wireless",0.396270984471313,0.429386172107739,-2.11773175736775,2.0221964974409,0,"Rejected"
"4","Saturn",0,0,0,0,0,"Rejected"
"5","Android",0.267385977987454,0.6662545225872,-1.53969440289314,2.04827501823243,0,"Rejected"
"6","iPad",2.71406945161118,2.77960876031589,0.818202042705999,4.0432963875253,0.0707070707070707,"Rejected"
"7","iPhone",2.52216349401461,2.69960326380196,-0.367477713195424,4.48432197024612,0.0808080808080808,"Rejected"
"8","Arcade",1.86101104070454,1.93076179827262,0.125203348881613,3.79857370236122,0.0101010101010101,"Rejected"
"9","GameCube",-0.715498427720295,-0.732548796723095,-2.28288170359179,0.772235927120179,0,"Rejected"
"10","Genesis",0,0,0,0,0,"Rejected"
"11","Macintosh",6.70617528410423,6.69990538793085,4.76712979926839,9.24869501179264,0.95959595959596,"Confirmed"
"12","PC",13.2627107634203,13.2007562116064,8.32672174599538,16.8072737831312,1,"Confirmed"
"13","Nintendo",0.848708780584474,0.974952744320388,-1.35866807016966,1.79804885618565,0,"Rejected"
"14","GameBoy",2.43915552670155,2.49879909519438,0.326060874871345,4.70144842583859,0.121212121212121,"Rejected"
"15","NES",0,0,0,0,0,"Rejected"
"16","PlayStation",2.39332011956881,2.42118404640393,0.854090322086373,4.23939934651622,0,"Rejected"
"17","Xbox",2.2336432496136,2.30812031894183,0.660664845975397,4.42616017832986,0.0505050505050505,"Rejected"
"18","Wii",3.00905258354208,2.9499818432854,0.0908262178783039,5.6958209326481,0.262626262626263,"Rejected"
"19","otherPlatform",0.282810936696761,-0.165056325473654,-1.03979646121282,2.22322782490114,0,"Rejected"
"20","Flight",-1.48849268607155,-1.63410930906314,-2.32946309041258,-0.336368042730491,0,"Rejected"
"21","Music",2.48434787472966,2.60252822706115,0.758344337965255,4.05991627975478,0.0606060606060606,"Rejected"
"22","Simulation",0.331613389968188,0.224082563440031,-2.3904574384448,2.15984714524094,0,"Rejected"
"23","Fighting",1.19345515645544,1.05835198879373,-0.430051928275408,3.30425799811672,0,"Rejected"
"24","Platformer",6.59947676243046,6.77349190506747,3.38111811638609,9.41255142223195,0.929292929292929,"Confirmed"
"25","Puzzle",0.242464480712053,0.468431993790215,-2.13010104988215,2.45233458804287,0,"Rejected"
"26","Strategy",2.57904636891723,2.58915046477154,0.157778930852103,4.78206108656148,0.141414141414141,"Rejected"
"27","Adventure",1.96613949889323,1.94007342937164,-1.371606717821,4.06676892495194,0.0707070707070707,"Rejected"
"28","RPG",1.79505207152303,2.0149315325381,-0.409406704975602,3.36198229750976,0,"Rejected"
"29","Racing",3.82599609980706,3.89893206496557,0.929512153617332,6.30443293495091,0.494949494949495,"Rejected"
"30","Shooter",0.517794349201838,0.288841144989637,-1.16489712767542,2.37375025634774,0,"Rejected"
"31","Sports",2.3976080681895,2.50707455385195,-0.0568938925352626,4.42751676171079,0.0909090909090909,"Rejected"
"32","Action",3.34042599838615,3.30123353922965,0.0115751853085974,6.43680810086214,0.393939393939394,"Rejected"
"33","otherGenre",2.3740034977772,2.28895680552318,0.623053935361009,4.57495065331053,0.0404040404040404,"Rejected"
"34","anger",11.9447759490489,12.1840817613252,7.905942630973,14.5534588984169,1,"Confirmed"
"35","anticipation",8.28182046505287,8.31368853928501,5.56319880327818,11.0805023636345,0.97979797979798,"Confirmed"
"36","disgust",5.50569354142878,5.50680720388643,2.95227739197445,7.93671855073318,0.818181818181818,"Confirmed"
"37","fear",12.5407951371781,13.0097466623741,8.03055662899179,14.7652281313039,1,"Confirmed"
"38","joy",7.90712761119449,7.8832242203325,4.97115060213797,10.7246037382962,0.98989898989899,"Confirmed"
"39","sadness",9.0093998542225,9.14139303965662,4.41396718596331,11.3229550496567,1,"Confirmed"
"40","surprise",5.76655711934826,5.90641212563048,0.916032316983535,8.75863454531961,0.868686868686869,"Confirmed"
"41","trust",12.5484886692464,12.6473214399329,8.64755576799875,15.7370042173324,1,"Confirmed"
"42","negative",11.2943221718455,11.4640294791681,7.89762596477349,13.4701035467744,1,"Confirmed"
"43","positive",11.9217307908323,11.9878449614573,8.54160136225311,14.1640275155239,1,"Confirmed"
"44","V1_April",-0.409611433418549,-0.598812439026478,-1.95352557449722,1.73309808849019,0,"Rejected"
"45","V1_August",0.525367185968759,0.572886531488344,-0.55473723554221,1.61874429539669,0,"Rejected"
"46","V1_December",-0.66411718352304,-0.72748467712441,-1.74345946143995,0.460486322690106,0,"Rejected"
"47","V1_January",-0.207148908773743,-0.035083768638204,-2.63382853180592,1.52442673831673,0,"Rejected"
"48","V1_July",0.228574869618684,0.177614547952716,-1.17705209206747,1.60260726394589,0,"Rejected"
"49","V1_June",-0.390952631304172,-0.403279555131034,-2.65721918303691,1.32389315405637,0,"Rejected"
"50","V1_March",1.20646249655771,1.18717506996963,-0.22782813777696,2.49197826319976,0,"Rejected"
"51","V1_May",0.960318219538968,1.10082634160278,-0.498089649674046,2.87519218837264,0,"Rejected"
"52","V1_November",-0.423384584020786,-0.418265992009388,-2.60869668231929,0.872738751383697,0,"Rejected"
"53","V1_October",0.304486429569729,0.428725362631583,-1.95648066643015,1.73770828335441,0,"Rejected"
"54","V1_September",0.228936555642602,0.483507191635866,-1.42056973644014,2.15104916404814,0,"Rejected"
"55","`V1_ E10+`",1.05143947700281,1.01813972904318,-1.11560585867066,2.91897377898441,0,"Rejected"
"56","`V1_ M`",6.40455705359183,6.41024964786539,3.94424667505051,9.98050189832098,0.919191919191919,"Confirmed"
"57","`V1_ RP`",0.475993861622809,0.649799201464866,-1.75745835878776,2.41722745864845,0,"Rejected"
"58","`V1_ RP-M+`",0.0667334335002922,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"59","`V1_ RP-T+`",-0.597880921815566,-1.03573298046325,-2.38537994604189,1.23894870875,0,"Rejected"
"60","`V1_ T`",0.879665001984777,0.981396213182308,-0.922331732104916,2.57321446217879,0,"Rejected"
"61","`V1_2K Games`",1.21701924963767,1.25846717973671,-0.842530149343356,2.95395334625874,0,"Rejected"
"62","V1_3DO",7.22666722976582,7.18996152235158,4.89273949527878,8.95334121146909,0.95959595959596,"Confirmed"
"63","`V1_Acclaim Entertainment`",2.62499904353641,2.52162882436904,1.64693210188979,3.76369972478432,0,"Rejected"
"64","V1_Activision",-0.249838083820334,-0.115037394204471,-2.015060914458,0.523386538389767,0,"Rejected"
"65","V1_Agetec",1.61152603925804,1.52745495694211,0.467345622081516,2.9076976003709,0,"Rejected"
"66","`V1_Aksys Games`",4.14504590936433,4.11644564524256,1.9167041118531,6.02620439403478,0.616161616161616,"Rejected"
"67","V1_Atari",0.0263616228734286,0.016136112005477,-1.34997814743942,1.80483794514091,0,"Rejected"
"68","V1_Atlus",-0.509826897196866,-0.346565066476673,-2.1653661776245,1.95034814658186,0,"Rejected"
"69","`V1_BAM! Entertainment`",0.777390765041183,1.00100150250438,-1.00100150250438,1.83918274730549,0,"Rejected"
"70","`V1_Bandai Namco Games`",3.78691397134646,3.88460793164325,0.601279087622619,6.21555435312056,0.565656565656566,"Rejected"
"71","`V1_Bethesda  Softworks`",-1.94394135849761,-1.9527180221963,-3.64196644630726,-0.694398543079583,0,"Rejected"
"72","`V1_Blizzard Entertainment`",1.81828876534606,1.9818963961168,0.376643837206469,3.08204674255489,0,"Rejected"
"73","V1_Capcom",0.189729160897665,0.214356076179286,-3.19398021403599,1.57210154487196,0,"Rejected"
"74","V1_Codemasters",1.46602866116466,1.83913805089433,-0.811190385171732,2.35732805093922,0,"Rejected"
