"","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","other","Focus Home Interactive","September",2011," T",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,2,2
"2","Nintendo","Nintendo","August",2009," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,5,2,2,7,3,14
"3","Nintendo","Nintendo","April",2009," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,5,2,2,7,3,14
"4","Nintendo","Nintendo","August",2009," E",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,2
"5","other","Focus Home Interactive","May",2019," M",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,7,18,7,8,9,12,25,22
"6","Hudson Soft","Hudson Soft","January",2011," E10+",8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4,1
"7","other","Electronic Arts","March",2018," M",8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,8,5,12,2,9,4,7,17,14
"8","Climax Studios","Sony Computer Entertainment","October",2006," E",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,2,3
"9","Climax Studios","Sony Computer Entertainment","October",2006," E",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3
"10","Climax Studios","Acclaim Entertainment","August",2000," E",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,2,2,4,2,3,2,6,5
"11","Namco","Namco","March",2000," E",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,1,6,1,3,1,6,8,5
"12","Namco","Namco","October",2001," E",9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,1,2,1,5,16,12
"13","other","Namco","October",2004," T",9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,1,12,3,5,4,16,18,28
"14","other","Bandai Namco Games","October",2007," T",8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,1,2,3,5,10,9
"15","other","Bandai Namco Games","January",2019," T",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,15,4,6,4,9,23,23
"16","other","Bandai Namco Games","October",2011," T",7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,17,4,7,4,10,22,21
"17","other","Namco","April",2006," T",8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,2,3,0,8,8,11
"18","other","Bandai Namco Games","August",2010," T",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,5,2,1,2,7,11,15
"19","other","Eidos Interactive","October",2002," E",6.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,3,3,3,3,1,4,6
"20","other","Activision","November",2002," E",8.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,2,1
"21","Digital Eclipse Software","Activision","November",2006," E",8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,2,1
"22","Intelligent Systems","Nintendo","September",2001," E",9.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,1,5,4,3,1,13,11,17
"23","Intelligent Systems","Nintendo","January",2008," E10+",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,8,7,4,2,9,13,18
"24","Intelligent Systems","Nintendo","August",2005," E",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,2,7,5,2,1,8,11,14
"25","other","Electronic Arts","March",2001," E",6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,6
"26","WayForward Technologies","D3 Publisher","November",2013," E10+",3.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,5,3,10,4,4,2,6,12,14
"27","other","Crave Entertainment","August",2000," E",7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,2,1,1,2
"28","SEGA","SEGA","April",2010," E10+",7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2
"29","other","SEGA","March",2007," T",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,3,2,0,6,3
"30","other","Capcom","October",2008," E",7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,2,3,0,0,0,2,8,1
"31","other","Microsoft","August",2000," T",8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,0,5,2,0,1,6,8,16
"32","other","Microsoft","October",2007," T",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,2,2,1,0,5,4,8
"33","other","Microsoft","October",2006," T",8.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,12,3,18,7,11,9,16,28,25
"34","other","Microsoft","August",2011," E10+",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,13,2,8,10,1,2,20,11,36
"35","other","THQ","November",2008," E10+",8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,3,2,0,0,2,6,8
"36","other","Microsoft","October",2002," T",9.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,15,2,15,11,10,8,15,21,32
"37","other","Microsoft","September",2003," T",8.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,3,10,9,4,3,10,14,19
"38","Epic Games","Gathering of Developers (aka GOD Games)","June",2002," T",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,2,3,2,3,5,4,8
"39","other","Paradox  Interactive","August",2019," T",8.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,7,7,3,3,15,7,18
"40","Volition","Deep Silver","August",2017," M",7.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,1,4,6,4,3,8,5,16
"41","other","Acclaim Entertainment","May",2002," T",9.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,16,3,5,13,6,8,23,15,30
"42","other","THQ","March",2001," T",4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,2,5,4,2,3,6,4,15
