"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"955","BreakQuest","other","other","March","2010"," E",4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,10,1,9,6,7,4,11,12,24
"959","Breath of Fire","Capcom","Square","February","1994","E",7.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,3,3,1,2,9,3,16
"960","Breath of Fire II","Capcom","Capcom","January","1996"," T",8.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11,2,8,11,8,6,13,10,23
"961","Breath of Fire III","Capcom","Capcom","January","1997"," T",7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,7,19,15,12,12,20,20,41
"962","Breath of Fire IV","other","Capcom","December","2000"," T",8.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,16,3,20,13,11,6,25,20,49
"963","Breed","other","cdv Software Entertainment","January","2005"," M",7.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1,2,0,2,3,5
"964","Bridge Constructor Portal","other","other","December","2017"," E10+",8,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,0,4
"967","Britney's Dance Beat","other","THQ","May","2002"," E",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,6,2,2,3,3,12
"968","Broforce","other","other","October","2015"," M",8.8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,4,1,7
"971","Broken Sword II: The Smoking Mirror","other","other","December","1996",NA,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,10,2,8,3,5,5,2,10,16
"972","Broken Sword: The Shadow of the Templars","other","THQ","February","1998"," T",7.5,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,17,3,7,7,8,6,12,14,37
"973","Broken Sword: The Sleeping Dragon","other","THQ","Import",NA," T",8.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,12,2,13,6,7,4,12,15,17
"975","Brothers in Arms DS","Gameloft","Ubisoft","June","2007"," T",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,4,0
"976","Brothers in Arms: Earned in Blood","Gearbox Software","other","October","2005"," M",8.8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,6,2,10,2,2,2,6,11,9
"978","Brothers in Arms: Hell's Highway","Gearbox Software","Ubisoft","September","2008"," M",7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,4,1,0,9,4,9
"979","Brothers: A Tale of Two Sons","other","other","August","2013"," T",8.2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10,7,10,7,11,3,15,17,22
"980","Brunswick Circuit Pro Bowling","other","THQ","October","1998"," E",9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,3,3,1,2,2,3
"982","Brunswick Pro Bowling","other","Crave Entertainment","September","2010"," E",5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,4,2,9
"983","Brutal: Paws of Fury","other","other","released",NA," M",3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,1,7,7,7,3,9,10,17
"985","BrÃ¼tal Legend","Double Fine Productions","other","February","2013"," M",9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,35,11,29,23,16,12,41,42,91
"986","Bubble Bobble","Hudson Soft","Hudson Soft","December","1991",NA,7,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,1,1,2,1,4,4,9
"988","Bubble Bobble Double Shot","other","other","February","2008"," E",5.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,2,2,0,4,4,6
"989","Bubble Bobble Neo!","Taito","Taito","September","2009"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,2,5,1,0,5,6,12
"990","Bubble Bobble Plus","Square Enix","Square Enix","May","2009"," E",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,2,5,1,0,5,6,12
"992","Bubble Bobble Revolution","other","Codemasters","September","2006"," E",3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,1,2,3,4
"996","Bubsy: The Woolies Strike Back","other","other","October","2017"," E",4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,3,4,2,2,6,7,9
"997","Buck Bumble","Argonaut Games","Ubisoft","November","1998"," E",7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2,6,3,2,3,3,6,8
"998","Buffy the Vampire Slayer","other","Fox Interactive","August","2002"," T",8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,12,12,21,11,16,10,22,30,32
"1000","Bug Riders","n-Space","GT Interactive","November","1997"," E",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3,1,2,0,1,3,2
"1001","Bugdom","other","other","TBA",NA,NA,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,2,7,2,2,0,5,8,11
"1003","Looney Tunes: Carrot Crazy","other","Infogrames","April","1999"," E",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,2,0
"1004","Bugs Bunny & Taz: Time Busters","A2M (Artificial Mind and Movement)","Infogrames","December","2000"," E",7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,1,1,3,1,3,2,5,7
"1006","Bugs Bunny: Lost in Time","other","Infogrames","June","1999"," E",7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1,2,6,4,2,5,7,11
"1007","Bujingai: The Forsaken City","other","BAM! Entertainment","July","2004"," T",7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,13,5,13,12,9,5,21,14,37
"1008","Bullet Witch","other","Atari","February","2007"," M",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,8,5,14,7,9,5,10,15,18
"1009","Bulletstorm","other","Electronic Arts","February","2011"," M",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14,2,10,8,4,3,15,15,29
"1010","Bulletstorm: Full Clip Edition","other","other","April","2017"," M",7.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14,2,10,8,4,3,15,15,29
"1011","Bully","other","Rockstar  Games","December","2012"," T",8.9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,12,12,22,11,22,7,22,38,36
"1012","BurgerTime","other","other","December","1984",NA,7.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,3,4,3,3,6,5,16
"1014","Burn, Zombie, Burn!","other","other","May","2011"," M",8.3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,5,4,2,4,5,7,14
"1016","Burning Rangers","Sonic Team","SEGA","June","1998"," E",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,2,9,3,6,5,8,10,12
"1018","Burnout 3: Takedown","other","Electronic Arts","September","2004"," T",9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,18,5,12,9,12,10,22,20,40
"1021","Burnout Legends","other","Electronic Arts","September","2005"," E10+",8.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,2
"1022","Burnout Paradise","other","Electronic Arts","January","2008"," E10+",8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,14,1,5,10,6,5,18,13,40
"1023","Burnout Revenge","other","Electronic Arts","September","2005"," E10+",8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,6,0,7,6,5,2,6,13,19
"1025","Bushido Blade 2","Square","Square","October","1998"," T",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,6,2,5,1,4,11,8
"1026","Bust A Groove","other","Sony Computer Entertainment","November","1998"," E",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,4,6,4,2,9,7,16
"1027","Bust A Groove 2","other","other","August","2000"," E",6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,6,1,2,3,4,8
"1030","Bust-A-Move 2: Arcade Edition","Taito","Acclaim Entertainment","May","1997"," E",8,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,3,5,9,3,6,5,12
"1032","Puzzle Bobble 4","Unknown","Taito","released",NA,NA,7.5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,2,4,2,1,4,6,7
"1033","Bust-A-Move Bash!","other","Majesco","April","2007"," E",5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,1,6,3,3,1,4,8,6
"1036","Bust-A-Move Universe","Taito","Square Enix","March","2011"," E",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
"1037","Butt-Ugly Martians: Zoom or Doom","other","Crave Entertainment","July","2003"," E",3.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,2,4,2,2,3,4,6
"1038","Buzz Lightyear of Star Command","Traveller's Tales","Activision","October","2000"," E",6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,3,1,4
"1039","Buzz! Junior: Jungle Party","other","Sony Computer Entertainment","N",NA," E10+",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,1,1,3
"1040","Buzz! Junior: Robo Jam","other","Sony Computer Entertainment","March","2008"," E",6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,3,10,3,7,7,3,21
"1041","Buzz! Master Quiz","other","Sony Computer Entertainment","September","2008"," E10+",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1
"1042","Buzz! Quiz TV","other","Sony Computer Entertainment","September","2008"," T",7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,2,0,6,2,13
"1043","Buzz! Quiz World","other","Sony Computer Entertainment","November","2009"," T",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
"1044","Buzz! The Mega Quiz","other","Sony Computer Entertainment","October","2007"," E10+",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,2,2,2,2,5
"1045","Buzz!: The Hollywood Quiz","other","Sony Computer Entertainment","March","2008"," T",8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2,4,4,3,5,0,10,10
"1046","C-12: Final Resistance","other","Sony Computer Entertainment","July","2002"," T",6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,0,2,1,5,5,6
"1047","C.O.P.: The Recruit","other","Ubisoft","November","2009"," T",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,9,1,2,2,6,8,6
"1048","C: The Contra Adventure","other","Konami","September","1998"," T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,3,12,3,4,1,8,11,13
"1049","CART Fury","other","Midway  Games","May","2001"," E",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1
"1050","CART World Series","Sony Computer Entertainment","Sony Computer Entertainment","September","1997"," E",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,1,2,3
"1053","CSI: Crime Scene Investigation: Dark Motives","Ubisoft","Ubisoft","March","2004"," M",8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,10,3,14,6,11,5,21,17,23
"1054","CSI: Crime Scene Investigation: Hard Evidence","other","Ubisoft","March","2009"," M",6.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,1,12,5,7,5,6,15,8
"1055","CT Special Forces","other","other","January","2004"," T",6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3
"1056","Cabela's 4x4 Off-Road Adventure","other","other","February","2001"," E",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,1,0,0,1,1,4
"1058","Cadence of Hyrule","other","Nintendo","June","2019",NA,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,2,8,4,6,9,5,14
"1059","Caesar","Unknown","Sierra","January","1993",NA,7.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,3,6,6,7,4,8,19,16
"1060","Caesar III","other","Sierra","April","1998"," E",8.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,2,1,3,3,6
"1061","Caesars Palace","other","Interplay","November","1997"," E",6,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,6,3,8,4,5,9,5
"1063","Caesars Palace 2000","other","Interplay","September","2000"," E",7.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,2,2,4,4
"1065","Cafeteria Nipponica","other","other","August","2012",NA,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,6,0,2,6,1,8
"1066","Cake Mania","other","Majesco","April","2007"," E",8,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,7,0,3,4,5,12
"1067","Cake Mania 2","other","other","August","2007"," E",5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0,3,4,5,12
"1068","Cake Mania 3","other","Majesco","N",NA," E",7.3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0,3,4,5,12
"1069","California Games","other","other","released",NA,NA,6,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,3,0,1,7,1,11
"1070","California Speed","other","Midway  Games","released",NA,NA,4.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,4,5,4,4,5,8,12,16
"1071","Call for Heroes: Pompolic Wars","other","Strategy First","June","2007"," T",1.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
"1073","Call of Cthulhu: Dark Corners of the Earth","other","Bethesda  Softworks","April","2006"," M",8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,5,11,3,6,4,5,15,18
"1074","Call of Duty","other","Activision","October","2003"," T",9.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,11,0,10,4,7,2,13,12,28
"1075","Call of Duty 2","other","Activision","October","2005"," T",8.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,20,7,20,10,7,6,25,33,38
"1076","Call of Duty 3","Treyarch","Activision","November","2006"," T",8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,31,17,50,18,28,19,40,73,75
"1077","Call of Duty 4: Modern Warfare","other","Activision","May","2008"," M",9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,20,9,27,17,13,14,35,33,59
"1080","Call of Duty: Advanced Warfare","other","Activision","November","2014"," M",9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,17,9,20,14,12,7,22,28,56
"1081","Call of Duty: Black Ops","Treyarch","Activision","November","2010"," M",8.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,15,7,21,9,18,9,15,29,29
"1082","Call of Duty: Black Ops 4","Treyarch","Activision","October","2018"," M",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,20,2,14,11,13,7,22,19,41
"1083","Call of Duty: Black Ops Declassified","other","Activision","November","2012"," M",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,4,4,3,0,6,11,14
"1084","Call of Duty: Black Ops II","Treyarch","Activision","November","2012"," M",9.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,8,4,16,8,15,3,14,26,36
"1085","Call of Duty: Black Ops III","Treyarch","Activision","November","2015"," M",9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,17,7,20,13,15,7,26,33,49
"1086","Call of Duty: Finest Hour","other","Activision","November","2004"," T",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,1,9,4,3,4,17,10,20
"1087","Call of Duty: Ghosts","other","Activision","November","2013"," M",8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,12,2,9,8,12,7,15,17,36
"1088","Call of Duty: Infinite Warfare","other","Activision","November","2016"," M",7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,14,5,15,9,8,7,20,22,38
"1091","Call of Duty: Modern Warfare 2","other","Activision","No","planned"," M",9.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,21,7,22,13,11,12,33,24,60
"1092","Call of Duty: Modern Warfare 3","other","Activision","November","2011"," M",9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,18,6,22,13,9,3,31,32,50
"1093","Call of Duty: Modern Warfare Remastered","other","Activision","November","2016"," M",8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,11,3,6,8,9,3,25,18,37
"1094","Call of Duty: Roads to Victory","other","Activision","March","2007"," T",6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,6,7,8
"1095","Call of Duty: Strike Team","other","Activision","September","2013",NA,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,11,3,13,7,7,2,9,18,14
"1096","Call of Duty: WWII","other","Activision","November","2017"," M",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,12,3,8,11,9,9,31,16,48
"1100","Call of Duty: World at War","Treyarch","Activision","November","2008"," M",9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,13,6,23,15,13,10,22,33,45
"1103","Call of Juarez: Bound in Blood","other","Ubisoft","June","2009"," M",7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,5,10,5,7,7,12,19,20
"1104","Call of Juarez: Gunslinger","other","Ubisoft","May","2013"," M",7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10,3,7,5,4,2,11,9,13
"1105","Call of Juarez: The Cartel","other","Ubisoft","July","2011"," M",4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,2,3,1,2,1,3,7,3
"1106","Call to Power II","other","Activision","October","2000"," E",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,4,1,1,0,7,4,14
"1107","Caller's Bane","other","other","December","2014",NA,7.4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,4,11,5,8,5,12,16,19
"1109","Calvin Tucker's Redneck Jamboree","other","other","November","2008"," E10+",3.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,4,2,4,6,5
"1110","Canabalt","other","other","January","2009",NA,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,2,0,3,2
"1112","Cannon Spike","other","Capcom","November","2000"," T",8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,5,2,1,0,2,7,5
"1114","Capcom Classics Collection Reloaded","Digital Eclipse Software","Capcom","October","2006"," T",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3,1,2,3,1,8
"1116","Capcom Classics Collection Vol. 2","Digital Eclipse Software","Capcom","November","2006"," T",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3,1,2,3,1,8
"1117","Super Buster Bros.","Capcom","Capcom","August","1992",NA,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,1,9,2,5,3,4,12,8
