"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"41","ATV Offroad Fury Pro","Climax Studios","Sony Computer Entertainment","October","2006"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,1,1,4
"42","ATV Quad Power Racing","Climax Studios","Acclaim Entertainment","August","2000"," E",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,2,2,3,2,2,2,7,8
"46","Abomination: The Nemesis Project","other","Eidos Interactive","November","1999"," M",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4,4,2,3,1,4,4,6
"47","Absolver","other","other","August","2017"," T",7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,2,0,3,6,1,10
"49","Abzu","other","other","August","2016",NA,8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,6,8,6,4,1,6,10,14
"51","Ace Attorney Investigations: Miles Edgeworth","Capcom","Capcom","February","2010"," T",7.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,7,8,12,6,9,6,10,18,14
"52","Ace Combat 2","Namco","Namco","August","1997"," E",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,12,5,2,3,7,16,18
"53","Ace Combat 3: Electrosphere","Namco","Namco","March","2000"," E",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,3,9,4,4,4,9,11,12
"54","Ace Combat 4: Shattered Skies","Namco","Namco","October","2001"," E",9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,2,12,1,6,1,4,18,17
"55","Ace Combat 5: The Unsung War","other","Namco","October","2004"," T",9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,15,7,5,6,21,20,32
