"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre"
"28","AMA Superbike","Motorsims","Motorsims","October","1999"," E","4.5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"29","AMF Bowling: Pinbusters","Atomic Planet","Mud Duck Productions","November","2007"," E","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"30","AMF Xtreme Bowling","Vicarious Visions","Vatical Entertainment","July","2000"," E","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"31","AND 1 Streetball","Black Ops","Ubisoft","June","2006"," E10+","4.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"32","1602 A.D.","Max Design","GT Interactive","February","2000"," E","7.9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"33","AO Tennis","Big Ant Studios","N/A","January","2018"," RP","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"34","AOC G2460PQU 24"" Monitor","N/A","AOC","January","2014",NA,"8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","APB","Realtime Worlds","Electronic Arts","June","2010"," M","7.7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36","ARK: Survival Evolved","Studio Wildcard","Studio Wildcard","June","2015"," T","7.7","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"37","ASUS RT-AC88U AC3100 Dual-Band Wi-Fi Gigabit Router","N/A","Asus","January","2015",NA,"9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","ASUS VG248QE 24"" Monitor","N/A","Asus","released",NA,NA,"8.3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","ATV Offroad Fury","Rainbow Studios","Sony Computer Entertainment","February","2001"," E","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40","ATV Offroad Fury 4","Climax Studios","Sony Computer Entertainment","October","2006"," E","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"41","ATV Offroad Fury Pro","Climax Studios","Sony Computer Entertainment","October","2006"," E","7.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"42","ATV Quad Power Racing","Climax Studios","Acclaim Entertainment","August","2000"," E","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"43","ATV: Quad Frenzy","Skyworks Interactive","Majesco","November","2005"," E","4.8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"44","Monster Trucks DS","Skyworks Interactive","Majesco","November","2005"," E","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"45","Aaru's Awakening","Lumenox Games","Lumenox Games","February","2015"," E","6.7","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"46","Abomination: The Nemesis Project","Hothouse Creations","Eidos Interactive","November","1999"," M","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"47","Absolver","Sloclap","Devolver Digital","August","2017"," T","7.6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"48","Abyss Odyssey","ACE Team","Atlus","July","2014"," T","6.7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"49","Abzu","Giant Squid","505 Games","August","2016",NA,"8.4","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50","Academy of Champions Soccer","Ubisoft Vancouver","Ubisoft","November","2009"," E","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"51","Ace Attorney Investigations: Miles Edgeworth","Capcom","Capcom","February","2010"," T","7.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"52","Ace Combat 2","Namco","Namco","August","1997"," E","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Ace Combat 3: Electrosphere","Namco","Namco","March","2000"," E","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"54","Ace Combat 4: Shattered Skies","Namco","Namco","October","2001"," E","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Ace Combat 5: The Unsung War","Project Aces","Namco","October","2004"," T","9.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Ace Combat 6: Fires of Liberation","Project Aces","Bandai Namco Games","October","2007"," T","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Ace Combat 7: Skies Unknown","Project Aces","Bandai Namco Games","January","2019"," T","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Ace Combat Advance","HumanSoft","Namco","February","2005"," E","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Ace Combat Assault Horizon","Project Aces","Bandai Namco Games","October","2011"," T","7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Ace Combat Assault Horizon Legacy","Access Games (JP)","Bandai Namco Games","November","2011"," T","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Ace Combat Xi","N/A","N/A","TBA",NA,NA,"8.7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Ace Combat Zero: The Belkan War","Project Aces","Namco","April","2006"," T","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Ace Combat: Joint Assault","Project Aces","Bandai Namco Games","August","2010"," T","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Swingerz Golf","GameStudio (Telenet)","Eidos Interactive","October","2002"," E","6.9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"65","Acer GN246HL Bbid 144 Hz 3D 24"" Monitor","N/A","Acer","September","2014",NA,"6.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","ActRaiser","Quintet","Enix","November","1991"," E10+","7.3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"67","ActRaiser 2","Quintet","Enix","November","1993",NA,"7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"68","Action Bass","Syscom Entertainment","Take-Two Interactive ","July","2000"," E","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"69","Action Girlz Racing","Data Design Interactive","N/A","canceled",NA,NA,"0.8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70","Action Man: Raid on Island X","Hasbro Interactive","Hasbro Interactive","September","2000"," E","6","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"71","Magnetica","Mitchell Corporation","Nintendo","June","2006",NA,"8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"72","Activision Anthology","Barking Lizards","Activision","November","2002"," E","8.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"73","Activision Classics","LTI Gray Matter","Activision","October","1998"," E","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"74","Activision Hits Remixed","Digital Eclipse Software","Activision","November","2006"," E","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"75","Ultimate 8 Ball","Mirage Technologies","THQ","June","1999"," E","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"76","Real Crimes: Jack the Ripper","Gamers Digital","Gamers Digital","January","2010"," T","7","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"77","Addiction Pinball","Team17 Software","Microprose","May","1998"," E","8","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Adidas Power Soccer","Psygnosis","Psygnosis","November","1997","E","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"79","Adr1ft","Three One Zero","505 Games","March","2016"," T","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80","Advance Wars","Intelligent Systems","Nintendo","September","2001"," E","9.9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"81","Advance Wars: Days of Ruin","Intelligent Systems","Nintendo","January","2008"," E10+","8.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"82","Advance Wars: Dual Strike","Intelligent Systems","Nintendo","August","2005"," E","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"83","Advanced Circuits","BiP Media","BiP Media","May","2010"," E","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"84","Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft","Take-Two Interactive ","Acclaim Entertainment","September","1996"," T","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"85","Adventure Island","Hudson Soft","Hudson Soft","September","1988"," E","5.5","0","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"86","Adventure Pinball: Forgotten Island","Digital Extremes","Electronic Arts","March","2001"," E","6.7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Adventure Time: Explore the Dungeon Because I Don't Know!","WayForward Technologies","D3 Publisher","November","2013"," E10+","3.5","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"88","Adventure Time: Pirates of the Enchiridion","Climax Studios","Outright Games","July","2018"," E10+","5.8","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"89","Adventures of Lolo","HAL Laboratory","HAL America","April","1989"," E","8","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"90","Adventures of Sherlock Holmes: The Silver Earring","Frogwares","Ubisoft","TBA",NA," T","8.3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"91","Generation of Chaos V","{DUPLICATE} Never-Land Company","Idea Factory","Japan",NA,NA,"6.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"92","Aero Gauge","Locomotive (JP)","ASCII Entertainment","May","1998"," E","5.2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"93","Rocket Racing","Halfbrick Studios","Halfbrick Studios","September","2009",NA,"5.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"94","Aero the Acrobat","Iguana Entertainment","Sunsoft","August","1993"," E","7.9","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"95","Aero the Acrobat 2","Iguana Entertainment","Sunsoft","April","1994"," E","7","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"96","AeroFighters Assault","Paradigm Entertainment","Video System","November","1997","E","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"97","AeroWings","CRI","Crave Entertainment","September","1999"," E","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","AeroWings 2: Air Strike","CRI","Crave Entertainment","August","2000"," E","7.2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Afrika","Rhino Studios","Natsume","October","2009"," E10+","3.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"100","Afro Samurai","Bandai Namco Games","Surge","January","2009"," M","6.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
