"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"230","`V1_Tri-Ace`",0.257296360055408,0.889035293901871,-2.22780546729418,1.81900156245765,0,"Rejected"
"231","`V1_TT Games`",0.804961912161323,1.24636898799381,-0.943396775107293,2.04002832715522,0,"Rejected"
"232","V1_Ubisoft.1",-1.21787147739958,-1.41644341951018,-3.13176996832204,0.66364410427013,0,"Rejected"
"233","`V1_Ubisoft Montreal`",-0.744773717471197,-0.592532194869478,-2.43525715333075,0.897399306443786,0,"Rejected"
"234","`V1_Ubisoft Paris`",-1.23025914097613,-1.29115567238558,-2.56083030347722,0.772843802858045,0,"Rejected"
"235","V1_Unknown",-1.60545660039707,-1.58795671959414,-2.87385355720731,-0.307716184026797,0,"Rejected"
"236","V1_Valve",2.11375148175385,2.06425354896305,1.1454782256399,3.22431821838689,0,"Rejected"
"237","`V1_Vicarious Visions`",-0.746983868806599,-0.992052915962778,-2.45338016558616,0.704095097478321,0,"Rejected"
"238","`V1_Visual Concepts`",4.68796044363601,4.63052941999018,2.55944088295872,7.00838056942673,0.868686868686869,"Confirmed"
"239","V1_Volition",1.04919512257569,1.22584245093281,-0.537993656966755,2.22690225092245,0,"Rejected"
"240","`V1_WayForward Technologies`",0.606347448605049,0.238874362451729,-0.832849868710015,2.81723375064811,0,"Rejected"
"241","`V1_Westwood Studios`",-2.94604283787612,-2.97298957648848,-4.37967223996758,-1.43529190997339,0,"Rejected"
"242","`V1_Yuke's Media Creations`",1.28560632592284,1.30684903583782,-1.0647701692271,2.87954115805056,0,"Rejected"
