,game_name,url
85,Adventure Pinball: Forgotten Island,https://en.wikipedia.org/wiki/Adventure_Pinball:_Forgotten_Island
86,Adventure Time: Explore the Dungeon Because I Don't Know!,https://en.wikipedia.org/wiki/Adventure_Time:_Explore_the_Dungeon_Because_I_Don%27t_Know!
87,Adventure Time: Pirates of the Enchiridion,https://en.wikipedia.org/wiki/Adventure_Time
88,Adventures of Lolo,https://en.wikipedia.org/wiki/Adventures_of_Lolo
89,Adventures of Sherlock Holmes: The Silver Earring,NA
90,Generation of Chaos V,NA
91,Aero Gauge,https://en.wikipedia.org/wiki/AeroGauge
92,Rocket Racing,NA
93,Aero the Acrobat,https://en.wikipedia.org/wiki/Aero_the_Acro-Bat
94,Aero the Acrobat 2,https://en.wikipedia.org/wiki/Aero_the_Acro-Bat_2
95,AeroFighters Assault,https://en.wikipedia.org/wiki/Aero_Fighters_Assault
96,AeroWings,https://en.wikipedia.org/wiki/AeroWings
97,AeroWings 2: Air Strike,https://en.wikipedia.org/wiki/AeroWings_2:_Airstrike
98,Afrika,https://en.wikipedia.org/wiki/Afrika
99,Afro Samurai,https://en.wikipedia.org/wiki/Afro_Samurai
100,After Burner Climax,https://en.wikipedia.org/wiki/After_Burner_Climax
101,SEGA Ages: After Burner II,NA
102,After Burner: Black Falcon,https://en.wikipedia.org/wiki/After_Burner:_Black_Falcon
103,Afterfall: Insanity,https://en.wikipedia.org/wiki/Afterfall:_Insanity
104,Agatha Christie: And Then There Were None,https://en.wikipedia.org/wiki/Agatha_Christie:_And_Then_There_Were_None
105,Agatha Christie: Death on the Nile,NA
106,Agatha Christie: Evil Under the Sun,https://en.wikipedia.org/wiki/Agatha_Christie:_Evil_Under_the_Sun
107,Age of Booty,https://en.wikipedia.org/wiki/Age_of_Booty
108,Age of Conan: Hyborian Adventures,https://en.wikipedia.org/wiki/Age_of_Conan
109,Age of Conan: Rise of the Godslayer,https://en.wikipedia.org/wiki/Age_of_Conan:_Rise_of_the_Godslayer
110,Age of Empires,https://en.wikipedia.org/wiki/Age_of_Empires
111,Age of Empires II: The Age of Kings,https://en.wikipedia.org/wiki/Age_of_Empires_II
112,Age of Empires II: The Conquerors,https://en.wikipedia.org/wiki/Age_of_Empires_II:_The_Conquerors
113,Age of Empires III: The Asian Dynasties,https://en.wikipedia.org/wiki/Age_of_Empires_III:_The_Asian_Dynasties
114,Age of Empires III: The WarChiefs,https://en.wikipedia.org/wiki/Age_of_Empires_III:_The_WarChiefs
115,Age of Empires Online,https://en.wikipedia.org/wiki/Age_of_Empires_Online
116,Age of Empires: Mythologies,https://en.wikipedia.org/wiki/Age_of_Empires:_Mythologies
117,Age of Mythology,https://en.wikipedia.org/wiki/Age_of_Mythology
118,Age of Mythology: The Titans,https://en.wikipedia.org/wiki/Age_of_Mythology:_The_Titans
119,Age of Pirates 2: City of Abandoned Ships,https://en.wikipedia.org/wiki/Age_of_Pirates_2:_City_of_Abandoned_Ships
120,Age of Pirates: Caribbean Tales,https://en.wikipedia.org/wiki/Age_of_Pirates:_Caribbean_Tales
121,Age of Sail II,https://en.wikipedia.org/wiki/Age_of_Sail_II
122,Age of Wonders,https://en.wikipedia.org/wiki/Age_of_Wonders
123,Age of Wonders II: The Wizard's Throne,https://en.wikipedia.org/wiki/Age_of_Wonders_II:_The_Wizard%27s_Throne
124,Age of Wonders III,https://en.wikipedia.org/wiki/Age_of_Wonders_III
125,Age of Wonders: Planetfall,https://en.wikipedia.org/wiki/Age_of_Wonders:_Planetfall
126,Age of Wushu,https://en.wikipedia.org/wiki/Age_of_Wushu
